"Portfolio Holdings and weightings as of 8:00 AM ET 05/13/2021",
"Symbol","Company Name","Weight","Identifier","Shares Held",
"AAPL","APPLE INC COMMON STOCK USD.00001","21.81%","037833100","66,391,455",
"MSFT","MICROSOFT CORP COMMON STOCK USD.00000625","20.29%","594918104","31,730,840",
"V","VISA INC CLASS A SHARES COMMON STOCK USD.0001","4.21%","92826C839","7,135,413",
"NVDA","NVIDIA CORP COMMON STOCK USD.001","3.84%","67066G104","2,608,299",
"MA","MASTERCARD INC   A COMMON STOCK USD.0001","3.52%","57636Q104","3,688,473",
"PYPL","PAYPAL HOLDINGS INC COMMON STOCK USD.0001","3.16%","70450Y103","4,927,013",
"ADBE","ADOBE INC COMMON STOCK USD.0001","2.55%","00724F101","2,016,446",
"CSCO","CISCO SYSTEMS INC COMMON STOCK USD.001","2.45%","17275R102","17,760,121",
"INTC","INTEL CORP COMMON STOCK USD.001","2.45%","458140100","17,092,378",
"CRM","SALESFORCE.COM INC COMMON STOCK USD.001","2.17%","79466L302","3,860,688",
"ACN","ACCENTURE PLC CL A COMMON STOCK USD.0000225","1.99%","G1151C101","2,668,086",
"AVGO","BROADCOM INC COMMON STOCK","1.94%","11135F101","1,717,302",
"TXN","TEXAS INSTRUMENTS INC COMMON STOCK USD1.0","1.83%","882508104","3,871,097",
"ORCL","ORACLE CORP COMMON STOCK USD.01","1.60%","68389X105","7,802,086",
"QCOM","QUALCOMM INC COMMON STOCK USD.0001","1.59%","747525103","4,778,713",
"IBM","INTL BUSINESS MACHINES CORP COMMON STOCK USD.2","1.42%","459200101","3,758,872",
"INTU","INTUIT INC COMMON STOCK USD.01","1.23%","461202103","1,151,870",
"AMAT","APPLIED MATERIALS INC COMMON STOCK USD.01","1.19%","038222105","3,860,041",
"NOW","SERVICENOW INC COMMON STOCK USD.001","1.03%","81762P102","824,879",
"AMD","ADVANCED MICRO DEVICES COMMON STOCK USD.01","1.02%","007903107","5,097,223",
"FIS","FIDELITY NATIONAL INFO SERV COMMON STOCK USD.01","1.01%","31620M106","2,612,641",
"MU","MICRON TECHNOLOGY INC COMMON STOCK USD.1","0.97%","595112103","4,705,463",
"ADP","AUTOMATIC DATA PROCESSING COMMON STOCK USD.1","0.91%","053015103","1,799,972",
"LRCX","LAM RESEARCH CORP COMMON STOCK USD.001","0.90%","512807108","601,062",
"FISV","FISERV INC COMMON STOCK USD.01","0.76%","337738108","2,504,985",
"ADSK","AUTODESK INC COMMON STOCK USD.01","0.67%","052769106","924,852",
"GPN","GLOBAL PAYMENTS INC COMMON STOCK","0.65%","37940X102","1,241,737",
"ADI","ANALOG DEVICES INC COMMON STOCK USD.167","0.61%","032654105","1,551,516",
"NXPI","NXP SEMICONDUCTORS NV COMMON STOCK","0.57%","N6596X109","1,164,947",
"KLAC","KLA CORP COMMON STOCK USD.001","0.50%","482480100","647,991",
"TEL","TE CONNECTIVITY LTD COMMON STOCK CHF.57","0.48%","H84989104","1,391,440",
"HPQ","HP INC COMMON STOCK USD.01","0.45%","40434L105","5,267,088",
"APH","AMPHENOL CORP CL A COMMON STOCK USD.001","0.43%","032095101","2,519,521",
"MCHP","MICROCHIP TECHNOLOGY INC COMMON STOCK USD.001","0.42%","595017104","1,132,366",
"CTSH","COGNIZANT TECH SOLUTIONS A COMMON STOCK USD.01","0.42%","192446102","2,231,358",
"SNPS","SYNOPSYS INC COMMON STOCK USD.01","0.39%","871607107","640,755",
"CDNS","CADENCE DESIGN SYS INC COMMON STOCK USD.01","0.38%","127387108","1,173,120",
"GLW","CORNING INC COMMON STOCK USD.5","0.37%","219350105","3,230,884",
"MSI","MOTOROLA SOLUTIONS INC COMMON STOCK USD.01","0.37%","620076307","711,738",
"PAYX","PAYCHEX INC COMMON STOCK USD.01","0.35%","704326107","1,351,565",
"XLNX","XILINX INC COMMON STOCK USD.01","0.32%","983919101","1,034,886",
